0_000_00_Ref Nr,APIS,BUDA RefNR to add to http://purl.bdrc.io/resource/,KDSB Set,KDSB vol,KDSB txt Nr,PP in KDSB,No of folios,Category=Subject (vocabulary) -> for APIS,Category (for team's orientation),Signature: letter indicating category,Signature: number indicating bundle,Drepung catalogue no,provenance and/or catalogue number (if not Drepung),Author's name (generic/as attested in manuscript),Author BDRC/BUDA ID,Author's dates,Title dkar chag KDSB/editorial/attested,Sanskrit title,Commentary on (sDe dge ref),Script,"mss proofread by scribe or later reader, indication on the mss A(bsent), P(resent), TBD (by defautl, to be determined; if blank=TBD)",Transkribus,Etext main txt,Marginal notes,Etext loc/origin,TEI doc w. tagged excerpts,Priority,Status of importance,Remark,Topics of interest (in addition to txt subject),Amount of references to views of Tibetan scholars/Number of names,SB - Author KDSB dkar chag check,SB Author (systematic network research done),Contents marked up (mss or etxt),TEI markup,Colophon marked up in etxt and harvest,Amount of data in colophon,place of composition,place of scribing/copy,Place names in colophons,Date in colophons,Scribe,Owner,dpe cha,Etext input by,"Additional e-text metadata/
comments",Drawings
1_029_01,,MW1PD89051_56FE71,1,29,1,13-133,61,Perfection of wisdom,Maitreya 2,tsha,89,,,Se sPyil bu ba Chos kyi rgyal rntshan,P3448,1121-1189,Theg chen mdo sde rgyan gyi don mdor bsdus bkrol ba,,D4020,bru,A,1,Needed,yes,TibSchol incomplete,,Core,minor,"TD: མདོ་སྡེ་རྒྱན་གྱི་ཊི་ཀ།
མཛད་པ་པོ། ཆོས་ཀྱི་རྒྱལ་མཚན།
ས་བཅད་དབྱེ་བ་ཕྱེ་ཡོད། ཁ་ཅིག་ཡོད་ཀྱང་ཁ་ཅིག་སུ་ཡིན་གསལ་པོ་མེད། 
དཔེར་ན། ཁོ་ན་རེ་དང་ཁ་ཅིག་ན་རེ། ཟེར་བ་ལྟ་བུ་ཡིན། འགྲེལ་མཆན་དང་དག་མཆན་གཉིས་ཀ་ཡོད། མཆན་གྱི་ཡིག་གཟུགས་དབུ་ཅན་དང་མང་ཆེ་བ་དབུ་མེད་ཡིན།

ལུང་དྲང་པའི་དཔེ་ཆ་དང་མི་སྣ་ཁག།
དཔེར་ན། ས་རྫ། གཉའ་ན་ཤྲི། ཊི་ཀ། པ་ར་ཧེ་ཏ། རྔོག། རོམ་པ། 
ཁ་ཅིག་ནང་འགའ་ཤས་གོང་གི་མི་སྣ་དེ་དག་བཞག་ཡོད། དཔེར་ན། ཁ་ཅིག། ཅེས་བྲིས་ནས་འོག་ཏུ་མཆན་ནང་། པ་ར་ཧེ་ཏ་སོགས་བྲིས་ཡོད།
ནང་དོན།
ཐེག་ཆེན་བཀའ་སྒྲུབ། སྐྱབས་འགྲོ། རིགས་སོགས་ཡིན།
བརྗོད་བྱ་ཁག་ལ་དོགས་སློང་དང་དེར་དགག་སྒྲུབ་བྱས་ཡོད། ; PH: Incipit ""dga' ldan chos kyi pho brang bla myed"" is not monastery. Tibetan names only rNgog, maybe bya/phya in a gloss, and ""rom po"". One mention of ""ra sgreng"". Author was student of 'chad kha ba. Compares interpretation of Sajjana and Parahita, sometimes of ""rom po"" (named in the text). Other kha cig identified in notes. Maybe rom po= sPa/Pa tshab rom po? No pertinent excursus present, hence limited interest for project.",,2,done,done,mss markup completed (TD),,done,"author, title",,,,,,,,SB,,
1_029_02,,MW1PD89051_2248CA,1,29,2,141-179,20,Madhyamaka,Madhyamaka,la,550,19622,,bTsun pa dBu ma pa,P8LS15360,b. 14thc,Theg pa chen po dbu ma’i nyams len bsgom pa’i lde mig,,,,,,Needed later,,TibSchol incomplete,,Peri,,,,,,,Colophon (etext),,,"title, author",,,,,,,,SB,,
1_029_03,,MW1PD89051_E30C88,1,29,3,187-232,22,Madhyamaka,Madhyamaka,tsa,34,,,Rin chen grags / Ratna kirti,P8LS15361,,mTha' bral dbu ma'i rnam gzhag gsal byed sgron me zhes bya ba,,,,,,Needed later,,See 3_064_08,,Discard,DUPLICATE,Same mss as 3_064_08,,,,,,,same as 3_064_08,author place date,,,,,,,,,,
1_029_04,,MW1PD89051_4725DE,1,29,4,237-332,48,Perfection of wisdom,Maitreya 1,tsha,139,16054,,bSod snyom pa Rin chen rgyal mtshan,P8LS15362,,bsTan bcos mngon par rtogs pa'i rgyan gyi lus mdzes par byed pa,,D3786,,,,Needed,no,TibSchol incomplete,,Core,,"On Lobsang's liste. bsod snyoms pa given as ""yi ger bkod pa"" (author or just scribe?), written in wood-horse year=1114, 1174, 1234, 1294, 1354, 1414",,,done,in progress,Colophon (etext),,done,"title, author, date",,,,shing pho rta'i lo ljon shing dang sa gzhi rnams lo 'dab dang / rtswa ljang gi myu gu skyed pa'i dus,bsod snyoms pa rin chen rgyal mtshan dpal bzang po,,,SB,,
1_029_05,,MW1PD89051_5DF6C9,1,29,5,337-492,79,Perfection of wisdom,Maitreya 1,tsha,117,,,zhang 'bal tshad ma pa?,P8LS15353,11-12th ,shes rab pha rol tu phyin pa'i 'grel ba'i brjed byang bla ma'i zhal rgyun gyi gdams pa,,,"dpe, 70/l",,,Needed,yes,,,Core,Other instance,This is the same text BUT NOT the same manuscript as 1_023_04. It would seem from the first few pages that most (not all) of the annotations are also the same. They were copied from the same manuscript (or one copied the other keeping the glosses of the other text as glosses). For the colophon see 1_023_04.,,,,,,,done,"title, author, teachers",,,,,,,,,,
1_029_06,,MW1PD89051_EF0526,1,29,6,493-506,7,,Great Seal,ma,98,6746,,gSang mda' ba Chos kyi rgyal mtshan dpal bzang po,P8LS15363,15thc,Phyag rgya chen po la 'khrul ba sel ba'i bstan bcos,,,,,,,,,,Discard,"Discard - late, non schol",SB Late and irrelevant. I created an etext and then left it. If needed I can place it in the folder.,,,,,,,,"title, author",,,,,,,,,,
1_030_01,,MW1PD89051_663C0F,1,30,1,19-385,185,Monastic rules,Monastic rules,wa,4,16151,,Bya 'Dul 'dzin brTson 'grus 'bar,P2273,1100-1174,'Dul ṭik 'thad ldan zhes bya ba gzhi stod,,D4117?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"rom title, could be a commentary on Guṇaprabha's vinayasūtra (D4117)",,,,,Two copies of etext - check,,done,"title, author",,,,,,,Y,PH and SB,,
1_030_02,,MW1PD89051_963795,1,30,2,387-473,44,Monastic rules,Monastic rules,,,,sPo mi spyan drug,Bya 'Dul 'dzin brTson 'grus 'bar,P2273,1100-1174,'Dul ṭik 'thad ldan zhes bya ba gzhi smad,,D4117?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,gSung rten remarks: Manuscript was found in sPo-mi-spyan-drug (or sPo-bo-spyan-drug) and supplied by bKra-shis-dbang-rgyal.,,,,,Two copies of etext - check,,done,"title, author",,,,,,,Y,PH and SB,,
2_031_01,,MW1PD89084_146632,2,31,1,7-67,31,Madhyamaka,Madhyamaka,tsa,19,15397,,rGya dmar ba Byang chub grags,P4749,12thc.,dBu maʼi de kho na nyid gtan la dbab pa,,,dpe,,,Complete,yes,TibSchol complete Read only; rGya dmar ba Project IKGA website,,Core,Very important,do not work on read-only word file; scans easier to work with than print (or with magnifying glass). Subject of ongoing project of edition and translation (see webpage on ikga website). TEI tagging will be dealt with independently,,100/16,,,Marked up with other styles than in the TibSchol project. Styles were partially changed to TibSchol styles (PH),,,"title, author",,,,,,,own scans,PH,,
2_031_02,,MW1PD89084_BC59B7,2,31,2,81-180,52,Monastic rules,Monastic rules,wa,58,16287?,,Bya 'Dul 'dzin brTson 'grus 'bar,P2273,1100-1174,Dul ba ʼod ldan gyi ṭīkka,,D4125,,,,Needed later,yes,TibSchol incomplete,,Peri,Secondary,"print+magnifying glass for reading glosses. Would be itneresting to compare with Phya pa's. gSung rten : Phyi Wa 58, n. 16287 (?), catalogue: 23 fols. ?! From title, a commentary on Śākyaprabha's D4125 āryamūlasarvāstivādiśrāmaṇerakārikāvṛttiprabhāvatī",,,,,Colophon (etext),,done,author,,,,,,,Y,SB,,
2_031_03,,MW1PD89084_EB7D6F,2,31,3,187-434,125,Monastic rules,Monastic rules,wa,32,16230,,gnyal pa dar ma ‘od zer,P3JT13442,11th,ʼDul ba mdo rtsaʼi ʼgrel pa,,D4117?,,,,Needed later,no,TibSchol incomplete,,Peri,Secondary,"clearer on print (No colophon. An etext with only title; signature and 'Bras spungs number is in the incomplete etext folder). From title, could be a commentary on Guṇaprabha's vinayasūtra (D4117)",,,,,Incipit (etext),,,"(none)
",,,,,,,Y,SB,,
2_031_04,,MW1PD89084_7B33BE,2,31,4,437-472,18,Monastic rules,Monastic rules,wa,47,,,rtsis ‘dul ‘dzin gzhon nu seng ge,P2272,(b. 12th c),las kyi lde mig,,D4118,,,,Not needed,no (lemmata only),TibSchol incomplete,,Discard,Discard - not pertinent,topical outline of Gunaprabha's ekottarakarmaśataka,,,,,Two copies of etext - check,,done,"title, author",,,,,,,N,PH and SB,,
2_032_01,,MW1PD89084_B2AAFF,2,32,1,11-400,194,Monastic rules,Monastic rules,,,,,rin chen skyabs,P3JT13443,12th,ʼDul ba mdo rtsaʼi ʼgrel pa lung kun las btus pa zhes bya ba gzhi stod,,1_030_01+1_030_02,,,,,,TibSchol incomplete,,Discard,,"There is one single etext for 2_032_01 & 2_033_01 in the TibSchol incomplete folder. The incipit from 2_032_01 and the colophon from 2_033_01.
This text is a commentary of Bya ’dul ’dzin’s 1_030_01&02. The first section of the colophon is copied from Bya ’dul ’dzin’s colophon and the second section, where Rin skyabs acknowledge his contribution, also echoes Bya ’dul ’dzin colophon’s style.
The incipit is in the stod volume and the colophon in the smad ",,,,,Incipit (etext),,no colophon (incipit in 2_033_01),"(none)
",,,,,,,,SB,,
2_033_01,,MW1PD89084_23F91F,2,33,1,9-396,194,Monastic rules,Monastic rules,,,,,rin chen skyabs,P3JT13443,12th,ʼDul ba mdo rtsaʼi ʼgrel ba lung kun las btus pa zhes bya ba gzhi smad,,1_030_01+1_030_02,,,,,,TibSchol incomplete,,Discard,,See above. This work has an interest in being a rare case of a commentary on a Tibetan work.,,,,,Colophon (etext),,done,"Title, author, teacher",,,,,,,,SB,,
2_034_01,,MW1PD89084_5A0C4D,2,34,1,11-46,18,Monastic rules,Monastic rules,wa,34,,,‘dar tshul khrims rgyal po,P3JT13447,,So sor thar paʼi rnam bshad,,D2,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"From title, a commentary on prātimokṣa-sūtra (D2)",,,,,Colophon (etext),,done,"title, author",,,,,,,,SB,,
2_034_02,,MW1PD89084_3EB2B8,2,34,2,51-96,23,Monastic rules,Monastic rules,wa,27,16217,,‘dar tshul khrims rgyal po,P3JT13447,,sum brgya pa'i ti ka,,D4126?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"From title, could be a commentary on Vinitadeva's triśatakārikāvyākhyāna (D4126)",,,,,Colophon (etext),,done,"title, author",,,,,,,,SB,,
2_034_03,,MW1PD89084_C43060,2,34,3,99-126,14,Monastic rules,Monastic rules,wa,52,16286,,thag ma pa,P1319?,12th,ʼDul baʼi bsdus don nor buʼi ʼphreng ba,,,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,(No colophon. An etext with only title; signature and 'Bras spungs number is in the incomplete etext folder),,,,,Title page (etext),,,"(none)
",,,,,,,,SB,,
2_034_04,,MW1PD89084_7BFC21,2,34,4,133-190,29,Monastic rules,Monastic rules,wa,17,16197,,chos kyi dbang phyug,P3065,12th,dGe tshul rnams kyi tshig leʼur byas paʼi rnam bshad,,D4124?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"gSung rten remarks: Shelf-mark in the catalogue is wrong. And page 190 out of place. From title, could be a commentary on Śākyaprabha 's (āryamūlasarvāstivādiśrāmaṇerakārikā D4124. Colophon mentions teachers brtson 'grus 'bar and gzhon nu seng ge=smra ba'i seng ge",,,,,Colophon (etext),,done,"title, author, teachers",,,,,,,,SB,,
2_034_05,,MW1PD89084_0D2E1D,2,34,5,195-378,91,Monastic rules,Monastic rules,wa,17,16198,,chos kyi dbang phyug,P3065,12th,rTsa baʼi lung so sor thar paʼi ṭīkka legs par bkod pa,,D2?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"gSung rten remarks: Shelf-mark in the catalogue is wrong. From title, commentary on prātimokṣa-sūtra, or on one of its commentaries.",,,,,Colophon (etext),,done,"title lauthor, teachers",,,,,,,,SB,,
2_034_06,,MW1PD89084_A0CFCE,2,34,6,385-462,39,Monastic rules,Monastic rules,wa,17,16196,,Anonymous,,,Dul baʼi bslab pa spyir bstan rnam bshad,,,,,,Needed later,,,,Peri,Secondary,,,,,,,,,"(none)
",,,,,,,,,,
2_035_01,,MW1PD89084_542E6E,2,35,1,5-24,10,,?,,,,,Gro ston bDud rtsi grags ,P2271,1153-1232,Yang dag paʼi dge baʼi bshes gnyen gyi zhal gyi gdams pa lam mchog rin po che,,,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"gSung rten:  	Phyi, la 435(?). It is not clear whether this manuscript is listed under n. 19091 or n. 19088.",,,,,Colophon (etext),,done,author,,,,,,,,SB,,
2_035_02,,MW1PD89084_CF93D1,2,35,2,29-177,74,Madhyamaka,BCA,tsa,99,15576,,Gro ston bDud rtsi grags ,P2271,1153-1232,byang chub sems dpa'i spyod pa la 'jug pa'i 'grel pa,,D3871,,,,Needed,no,TibSchol incomplete,,Core,,"Signature on cover page reads 99, but was entered in Drepung catalogue as phyi tsa 79.",,,,,Colophon (etext),,done,"author, title",,,,,,,,SB,,Title drawing
2_035_03,,MW1PD89084_713FB3,2,35,3,183-428,123,Monastic rules,Monastic rules,wa,38,16243,,Gro ston bDud rtsi grags ,P2271,1153-1232,ʼDul baʼi rnam bshad yid sbyin nor buʼi them skas,,,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,composed in sa pho sbrul lo - must be 1209 to fit into the author's dates,,,,,Colophon (etext),,done,"author, title, date",,,,sa pho sbrul lo = 1209,,,,SB,,Title drawing (faded)
2_035_04,,MW1PD89084_5739DD,2,35,4,431-435,2,Madhyamaka + Perfection of wisdom,Dbu ma Prajñāpradīpa,la,518,19367,,brtson ‘grus grags,P3JT13448,12th,Shes rab sgron ma'i sgra bshad skabs kyi mchan don,,,dpe,,,Needed,no,TibSchol incomplete,,Core,Important,"commentary on prajñāpradīpa (by Bhaviveka D3853)? Colophon: dge slong rnam par 'byed pa'i TI ka shes rab sgron ma , indicates rather a commentary on vinaya text, may on the Bhiksuni vinaya (D5) (dge slong ma'i 'dul a rnam par 'byed pa) - More likely the text mentioned in the colophon of 2_035-05, the spyir bstan pa'i ti ka shess rab sgron ma by brtson 'grus 'bar (=? bya 'dul 'dzin brtson 'grus 'bar P2273).  Drepung title=cover page: Tik+ka sher (em: shes rab) sgron ma'i sgra bshad skabs kyi mchan don. However, text dealswith division sgra spyi/don spyi and sgra rang mtshan/don rang mtshan","sgra spyi/don spyi, sgra/don rang g mtshan nyid",0,,,Colophon (etext). mss markup completed (PH),,done,"author, title",,,,,,,,SB,,
2_035_05,,MW1PD89084_C224CC,2,35,5,439-512,41,Monastic rules,Monastic rules,wa,42,16252,,brtson ‘grus grags,P3JT13448,12th,ʼDul baʼi spyi don gyi rnam bshad,,,,,,Needed later,yes,TibSchol incomplete,,Peri,Important (colophon),"many names in colophon. The author mentions in the colophon chos kyi seng ge, gzhon nu seng ge, and dharma seng ge - who is thus maybe a different person than chos kyi seng ge, rather the successor of gzhon nu seng ge in the vinaya lineage! Accordingly one may need to revise attribution of works by ""dharma seng ge"" to Phya pa.",Important colophon,,,,Colophon (etext). Some markup on Mss,,done,"title, author, teachers",,,,,,,,SB,,
2_036_01,,MW1PD89084_DA4D28,2,36,1,11-141,65,Monastic rules,Monastic rules,wa,12,16171,,sPal ti,P1320,1129-1215,ʼGrel pa ʼod ldan gyi tshig don gsal byed,,D4125?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"From title, could be a commentary on Śākyaprabha's āryamūlasarvāstivādiśrāmaṇerakārikāvṛttiprabhāvatī",,,,,Colophon (etext),,done,"title, author",,,,,,,,SB,,
2_036_02,,MW1PD89084_AAA697,2,36,2,143-272,65,Monastic rules,Monastic rules,wa,52,16289,,sPal ti,P1320,1129-1215,ʼGrel pa ʼod ldan gyi tshig don gsal byed,,D4125?,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"From title, could be a commentary on Śākyaprabha's āryamūlasarvāstivādiśrāmaṇerakārikāvṛttiprabhāvatī",,,,,Colophon (etext),,done,"title, author, teacher (unspecific)",,,,,,,,SB,,
2_036_03,,MW1PD89084_59A9C5,2,36,3,279-406,63,Monastic rules,Monastic rules,wa,42,16255,,byang chub seng ge,P3JT13450,12th,lTung ba sde lngaʼi kun tu spyod pa rin po cheʼi sgron ma,,,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,2_036_03 and 2_036_04 are the same text. The manuscripts are different and the annotations also differ. ,,,,,Colophon (etext),,done,"title, author",,,,,,,,SB,,
2_036_04,,MW1PD89084_B54336,2,36,4,409-522,58,Monastic rules,Monastic rules,wa,42,16258,,byang chub seng ge,P3JT13450,12th,bsLab pa rin po cheʼi phreng ba go rim du bsdebs pa,,,,,,Needed later,,TibSchol incomplete,,Peri,Other instance (with different set of notes),Same text as 2_036_03 (but different manuscript see cell above). The first folio of this manuscript is missing. Comparing this text with 2_036_03 one sees that its first line appears on 2a5 in 2_036_03 which means that the portion of texts that goes from 1a1 to 2a5 in 2_036_03 is missing from this manuscript. As the signature has been added on top of p. 2a the first folio must have already been lost by the time it reached ’Bras spungs,,,,,Colophon (etext),,done,"title, author",,,,,,,,SB,,
2_036_05,,MW1PD89084_2904C9,2,36,5,527-586,30,Monastic rules,Monastic rules,wa,42,16256,,byang chub seng ge,P3JT13450,12th,Colophon: dge slong gi kun tu spyod pa'i cho ga bsdus pa,,,bru,,,Needed later,,TibSchol incomplete,,Peri,Secondary,,,,,,,,done,"title, author",,,,,,,,,,
2_037_01,,MW1PD89084_E68230,2,37,1,11-458,225,Monastic rules,Monastic rules,wa,15,16188,,blo gros rgyal mtshan,P3JT13441,14th,ʼDul ba mdoʼi rnam bshad nyi maʼi rgyan,,D4117?,,,,,,TibSchol incomplete,,Discard,Secondary,"Some interest in view of author, and lineage mentioned at the end. From title, commentary on Guṇaprabha's Vinayasutra. Author is a student of dMar ston. Buda (mistakenly) has him as a student of Khyung rin chen grags and as a teacher of bya 'dul and of Phya pa - evidence?. Date and time of composition: yol rin chen gling gi gtsug lag khang du lnga brgya phrag brgyad pa'i drug cu re gsum pa sa mo bya zhi ba'i lo dbyar zla ra ba'i yar ngo'i tshes gsum la zin bris su bkod pa'o. =1309, 1369?",,,,,Colophon (etext),,done,"author, title, lineage, date, place, scribe",,,yol rin chen gling gi gtsug lag khang,lnga brgya phrag brgyad pa'i drug cu re gsum pa sa mo bya zhi ba'i lo dbyar zla ra ba'i yar ngo'i tshes gsum,shAkya'i dge slong Blo gros seng ge,,,SB,,niches: side illuminations (manuscript)
2_038_01,,MW1PD89084_AFC1FB,2,38,1,9-154,73,Monastic rules,Monastic rules,wa,30,16229,,Anonymous,,,Sor mdoʼi ʼgrel pa bdud rtsi yang snying tshig don gsal byed ṭīkka zhes bya baʼi dkar gnad,,D2,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"from title, commentary on Pratimokshasutra",,,,,Colophon (etext),,done,title,,,,,,,,SB,,
2_038_02,,MW1PD89084_6E2B3C,2,38,2,155-170,7,Monastic rules,Monastic rules,wa,52,16288,,Anonymous,,,ʼGrel pa ʼod dang ldan paʼi bsdus don,,D4125?,,,,,,TibSchol incomplete,,Discard,Discard,"PH : topical outline only without ext ref., from title on Śākyaprabha 's āryamūlasarvāstivādiśrāmaṇerakārikāvṛttiprabhāvatī",,0,,,Colophon (etext),,done,title,,,,,,,,SB,,
2_038_03,,MW1PD89084_C131A2,2,38,3,177-382,102,Monastic rules,Monastic rules,wa,41,,,bsam gtan bzang,P3JT13451,15th,Me tog phreng rgyud kyi ṭīkka legs bshad rgya mtsho,,,,,,,,TibSchol incomplete,,Discard,Discard - late,"gSung rten remark:  	According to the catalogue, a xylograph edition (shing dpar) of 121 fols. is catalogued under Phyi, wa 41, n. 16251. the 8th day of Vaiśākha śūkla pakṣa (Buddha’s birthday). gdong ngan = male fire monkey year: ",,,,,Colophon (etext),,done,"auhtor, title, place, date",,,dpal snar thang gi gtsug lag khang chen po,lo sum stong bzhi brgya dgu bcu rtsa gsum pa'i dus su / gdong ngan gyi lo sa ga'i dkar phyogs tshes brgyad  =1416/17; 1476/ …,,,,SB,,
2_038_04,,MW1PD89084_C858CF,2,38,4,389-494,53,Monastic rules,Monastic rules,wa,47,16274,,shes rab rgya mtsho,P3JT13452,14th,bsLab byaʼi gnas gtan la ʼbeb par byed paʼi legs bshad khyad par gsum ldan,,,,,,Needed later,,TibSchol incomplete,,Peri,Secondary,"A dKon mchog rin chen ordained 'Jam dbyangs Shes rab rgya mtsho (the third abbot of Ngor monastery) but nothing is known about him. Shes rab rgya mtsho: P2464 ? there is no evidence that they met though. This dKon mchog bzang po also studied at sNar thang like Shes rab rgya mtsho (the third abbot of sNgor monastery) and they lived in the same period, being born only two years apart. This dKon mchog bzang po became the 14th abbot of Jo nang dgon pa. BUDA says that this dKon mchog bzang po is P7737 who had a wife and son. His son was the second abbot of Ngor. Also in this case it would make sense if the author of this text was the third abbot of Ngor, but BUDA says that P3JT13452 lived in the 14th century while P2464 was born in 1396 and died in 1462 (so one may say that he was born in the 14th century though he basically lived in the 15th). If this Shes rab rgya mtsho is the third abbot of sNgor monastery the date would not be 1371 but 1431|2",,,,,Colophon (etext),,done,"title, author, teachers, requestor, place, date",,,dpal snar thang gi chos sde,"lcags mo phag gi lo: smal po’i zla ba'i bzang po’i tshes = 1371, 1431",,,,SB,,
2_039_01,,MW1PD89084_00024F,2,39,1,9-69,30,Monastic rules,Monastic rules,wa,47,16273,,dpal ldan seng,P3JT13453,16th,colophon: dam pa'i chos 'dual ba kun las btus pa rin po che snar thang pa,,,,,,,,TibSchol incomplete,,Discard,Discard - late,,,,,,Colophon (etext),,done,"author, title, place",,,bar ri dgon pa,,,,,SB,,
2_039_02,,MW1PD89084_96ACEF,2,39,2,77-276,100,Monastic rules,Monastic rules,wa,27,16218,,Anonymous,,,so thar mdoʼi ʼgrel pa zhes bya baʼi dkaʼ gnad,,,,,,Needed later,no,,,Peri,Secondary,"difficult points on a commentary on Pratimokshasutra (D2), maybe the anonymous pratimokṣasūtravṛtti (D4107) or Śūra (D4104)'s pratimokṣasūtrapaddhati. The text is incomplete and ends abruptly with ""de 'dra ba'i rkyen ces""",,,,,,,,(missing),,,,,,,,,,
2_039_03,,MW1PD89084_DAE45E,2,39,3,277-300,12,,Ritual/consecration - vinaya?,wa,47,16267,,Anonymous,,,Rab byung gi cho ga,,,,,,Needed later,,,,Peri,Secondary,"two additional lines at the end of text, too faded to read properly.",,,,,,,,(none),,,,,,,,,,
2_039_04,,MW1PD89084_BFB504,2,39,4,301-400,50,Monastic rules,Monastic rules,wa,47,16270,,Anonymous,,,Las chog gi brda sprod paʼi gdams ngag gi bshad pa bklags pas don ʼgrub pa,,,,,,Needed later,,,,Peri,Secondary,"ends on the words ""dge 'dun thugs gtad par zhu""",,,,,,,,(none),,,,,,,,,,
2_039_05,,MW1PD89084_3599B5,2,39,5,401-500,50,Monastic rules,Monastic rules,la,518,19374,,Anonymous,,,ʼDul ba lung nas btus paʼi bshad sbyar,,,dpe,,,Needed later,,,,Peri,Secondary,"Has a duplicate in 3_079_02. gSung rten: bKa' gdams gsung 'bum, vol. 39, pp. 401–500; bKa' gdams gsung 'bum, vol. 79, pp. 255–354. Different type of cursive than dpe tshugs and 'bru tsha",,,,,,,,(none),,,,,,,,,,
2_040_01,,MW1PD89084_613D25,2,40,1,11-536,263,Abhidharma,AS,,,,Sgo mang / rGyal rtse No. 27?,‘jad pa gzhon nu byang chub,P10015,1150-1210,chos mngon pa kun las btus pa'i TIkka shes bya thams cad gsal bar byed pa'i sgron me,,D4049,"dpe, 95/l",,1,Needed (Fragmentary),yes,TibSchol incomplete,,Core,Very important,"a lot of references to other scholars (list provided by Jon Stoltz at beginning of etext) incol. Byang chub skyabs, 'jad pa, tho (ston kun dga' rdo rje), bhan/'ban (dkon mchog rdo rje, teacher of Tho), mutra (dge bshes mu tra ba chen po, founder of Bodong E monastery in 1049), gnyags, gnyags seng ge grags, gnyags tshul brtson, mchims (brtson 'grus seng ge 1040-1112), ngur mig pa (=brang ti?, teacher of mchims and 'ban), brang ti (dar ma snying po, teacher of mchims), 'bre (shes rab 'bar), rog (rog chos kyi brtson 'grus, student of brang ti), jo btsun (=khyung), lo tsa ba, gangs pa, she'u dgon pa, lha rje dags po (bsod nams rin chen, 1079-1153), ma, mos pa, me dig pa, mnga' ris pa blo ston, ko'o ye 'byung, zangs kar lo tsa ba ('phags pa shes rab), mar pa lo tsa ba. gSung rten gives ref rGyal rtse dkar chag no 27. Use paper to read text, image is blurry - for transkribus, use archive image or re-scan. Initial discussion on nature of brjod bya /rjod byed",,50,,,In progress (pdf damaged),,,(missing?),,,,,,,,PH,,
2_041_01,,MW1PD89084_F91348,2,41,1,11-373,180,Abhidharma,AS,dza,38,16109,,gzad rin mo,P3JT13454,12th-13th,chos mngon pa kun las btus pa'i rnam par bshad pa gsal ba'i rgyan,,D4049,,P,,Needed (Transkribus candidate),no,,,Core,important,"lemmas in color not legible on image. Cover page printed upside down. Notes are only corrections, in dbu can (or small additions). Commentary. Uses triad gzhan lugs/rang lugs/rtsod pa spong ba. The gzhan lugs and the many ""kha cig"" are often Indian philosophical schools. Long discussions on kun gzhi, khams, bden bzhi. Many quotations from Indian sources: yum gyi mdo, theg bsdus, mdzod, rnam 'grel. Mention of Tibetan scholars? ""lo tsha ba"" is mentioned at beginning in the dgos 'brel discussion. Text in sa bcad structure. chos can...te...phyir argumentaiton structure is used. TD has surveyed the text roughly. The initial part is worth checking out in more details for the dgos 'brel and mtshan discussion (P3). An etext would enable collecting the ""na re"" and checking whether further Tibetan scholars are involved.",triad gzhan lugs/rang lugs/rtsod pa; mtshan; dgos 'brel,1,,,mss partially annotated (TD),,,"author, title, place",,,gnyes [=snye?] thang brag sna,,,,,,,
2_041_02,,MW1PD89084_30EEC6,2,41,2,379-602,113,Abhidharma,AS,dza,1,16066,,Anonymous,,13th?,Incipit: chos mngon pa kun las btus pa'i bshad pa rnam bshad snying po legs bshad kyi 'od zer. 1st chapter colophon: chos mngon kun btus rnam bshad snying po legs bshad kyi 'od zer las le'u dang po'i ti ga,,D4049,,A,1,Needed,yes (incl. identification of kha cig),,,Peri,important," Number in the middle of the folio, below signature: 77. Only the commentary on the first chatper is available. The incipit title could suggests that the base text is a commentary (rnam bshad) not directly of AS (D4049), but of abhidharmasamuccayabhāṣya (D4053) by Jinaputra, however the mtshan section gives the title of the base text as ""Abhidharmasamuccaya"". Initial verses describe work as ""well composed and analysed by correct reasoning"" ('thad pa'i rigs pas rnam ar dpyad). The section on dgos 'brel is a quasi literal repeat from Chu mig pa's PVin commentary (or the other way around?); this work could even possibly be by Chu mig pa. Glosses identify the ""kha cig"". Ref. to rNgog. Worth continuing exploration! paper version necessary to read the glosses on kha cig properly.","mtshan, dgos 'brel (=chu mig pa)",1 at least identified,,,some annotations on mss up to p. 386,,,title,,,,,,,needed,,,
